Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L1=1e-6	256	256	Animation	regularizer L1	2	1.55361957834	0.911726383999	0.229341616245	NaN	0.918202392199	NaN
L1=1e-6	256	256	Animation	regularizer L1	3	1.48343575283	0.916286645007	0.26180890735	NaN	0.938801902256	NaN
L1=1e-6	256	256	Animation	regularizer L1	4	1.44739896561	0.921265704602	0.279106237423	NaN	0.914784535966	NaN
L1=1e-6	256	256	Animation	regularizer L1	5	1.43171309524	0.929874359768	0.287120134292	NaN	0.937462472546	NaN
L1=1e-6	256	256	Animation	regularizer L1	6	1.37395747627	0.935504886482	0.315455355009	NaN	0.920049881744	NaN
L1=1e-6	256	256	Animation	regularizer L1	7	1.35754682639	0.930386226889	0.324214093374	NaN	0.908780194657	NaN
L1=1e-6	256	256	Animation	regularizer L1	8	1.31099344945	0.939227547297	0.351273576819	NaN	0.933859867651	NaN
L1=1e-6	256	256	Animation	regularizer L1	9	1.28060885442	0.938994880724	0.363569415298	NaN	0.916308715167	NaN
L1=1e-6	256	256	Animation	regularizer L1	10	1.24965999433	0.944951140315	0.383593233939	NaN	0.93399842938	NaN
NoReg	256	256	Animation	regularizer	1	1.6610127491	0.75393206057	0.166642259312	NaN	0.922774929152	NaN
NoReg	256	256	Animation	regularizer	2	1.53496064199	0.902093996637	0.225709364252	NaN	0.896540575259	NaN
NoReg	256	256	Animation	regularizer	3	1.50064581116	0.913680781165	0.244450405354	NaN	0.884762828358	NaN
NoReg	256	256	Animation	regularizer	4	1.52977388921	0.849511399758	0.229300965722	NaN	0.807353009308	NaN
NoReg	256	256	Animation	regularizer	5	1.45305094217	0.912238250244	0.269576841651	NaN	0.84434899082	NaN
NoReg	256	256	Animation	regularizer	6	1.40386920049	0.919823172737	0.294473852129	NaN	0.910720058707	NaN
NoReg	256	256	Animation	regularizer	7	1.39904644166	0.927221963133	0.293482950008	NaN	0.895478268847	NaN
NoReg	256	256	Animation	regularizer	8	1.38995595198	0.917868775365	0.302348288318	NaN	0.883977645319	NaN
NoReg	256	256	Animation	regularizer	9	1.35136008792	0.929874360656	0.317014456738	NaN	0.928594521714	NaN
NoReg	256	256	Animation	regularizer	10	1.31258539796	0.937971148972	0.339741248356	NaN	0.928317398255	NaN
L2=1e-2	256	256	Animation	regularizer L2	1	6.85778113539	0.156584457878	0.0878456137211	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	2	1.81740594437	0.0484411353321	0.0881386144049	NaN	0.0498822225226	NaN
